timestamp,rssi,label
1755875379,-58,no_motion
1755875380,-58,no_motion
1755875380,-58,no_motion
1755875380,-58,no_motion
1755875381,-58,no_motion
1755875381,-58,no_motion
1755875382,-58,no_motion
1755875382,-58,no_motion
1755875382,-58,no_motion
1755875383,-58,no_motion
1755875383,-58,no_motion
1755875384,-58,no_motion
1755875384,-58,no_motion
1755875384,-58,no_motion
1755875385,-58,no_motion
1755875385,-58,no_motion
1755875386,-58,no_motion
1755875386,-58,no_motion
1755875386,-58,no_motion
1755875387,-58,no_motion
1755875387,-58,no_motion
1755875388,-58,no_motion
1755875388,-58,no_motion
1755875389,-58,no_motion
1755875389,-58,no_motion
1755875390,-58,motion
1755875390,-58,motion
1755875391,-58,motion
1755875391,-58,motion
1755875392,-58,motion
1755875393,-58,motion
1755875393,-58,motion
1755875394,-58,no_motion
1755875394,-58,no_motion
1755875395,-58,motion
1755875395,-58,motion
1755875396,-58,motion
1755875396,-58,motion
1755875397,-58,motion
1755875397,-58,motion
1755875398,-58,no_motion
1755875398,-58,no_motion
1755875399,-58,motion
1755875400,-58,motion
1755875400,-58,motion
1755875401,-58,motion
1755875401,-58,motion
1755875402,-58,motion
1755875402,-58,motion
1755875403,-58,motion
1755875403,-58,motion
1755875404,-58,no_motion
1755875404,-58,no_motion
1755875405,-58,motion
1755875405,-58,motion
1755875406,-58,motion
1755875407,-58,motion
1755875407,-58,motion
1755875408,-58,motion
1755875408,-58,no_motion
1755875408,-58,motion
1755875409,-58,no_motion
1755875409,-58,motion
1755875410,-58,no_motion
1755875410,-58,motion
1755875411,-58,no_motion
1755875412,-58,no_motion
1755875412,-58,no_motion
1755875413,-58,no_motion
1755875413,-58,no_motion
1755875414,-58,no_motion
1755875414,-58,no_motion
1755875415,-58,motion
1755875416,-58,motion
1755875416,-58,motion
1755875417,-58,motion
1755875417,-58,motion
1755875418,-58,motion
1755875418,-58,motion
1755875419,-58,motion
1755875419,-58,motion
1755875420,-58,motion
1755875420,-58,motion
1755875421,-58,motion
1755875421,-58,motion
1755875422,-58,motion
1755875422,-58,motion
1755875423,-58,motion
1755875423,-58,motion
1755875424,-58,motion
1755875424,-58,motion
1755875425,-58,motion
1755875425,-58,motion
1755875426,-58,motion
1755875426,-58,motion
1755875427,-58,motion
1755875427,-58,motion
1755875428,-58,motion
1755875428,-58,motion
1755875455,-58,no_motion
1755875456,-58,no_motion
1755875456,-58,no_motion
1755875456,-58,no_motion
1755875457,-58,no_motion
1755875457,-58,no_motion
1755875458,-58,no_motion
1755875458,-58,no_motion
1755875458,-58,no_motion
1755875459,-58,no_motion
1755875459,-58,no_motion
1755875460,-58,no_motion
1755875460,-58,no_motion
1755875460,-58,no_motion
1755875461,-58,no_motion
1755875461,-58,no_motion
1755875462,-58,no_motion
1755875462,-58,no_motion
1755875462,-58,no_motion
1755875463,-58,no_motion
1755875463,-58,no_motion
1755875464,-58,no_motion
1755875464,-58,no_motion
1755875465,-58,no_motion
1755875465,-58,motion
1755875466,-58,motion
1755875466,-58,motion
1755875467,-58,motion
1755875467,-58,motion
1755875468,-58,motion
1755875468,-58,motion
1755875469,-58,motion
1755875470,-58,no_motion
1755875470,-58,no_motion
1755875471,-58,no_motion
1755875471,-58,no_motion
1755875472,-58,no_motion
1755875472,-58,no_motion
1755875473,-58,no_motion
1755875473,-58,no_motion
1755875474,-58,no_motion
1755875475,-58,no_motion
1755875475,-58,no_motion
1755875476,-58,no_motion
1755875476,-58,motion
1755875477,-58,motion
1755875477,-58,motion
1755875478,-58,motion
1755875479,-58,motion
1755875479,-58,motion
1755875480,-58,no_motion
1755875480,-59,no_motion
1755875481,-59,no_motion
1755875481,-59,no_motion
1755875482,-59,no_motion
1755875483,-59,no_motion
1755875483,-59,no_motion
1755875484,-59,motion
1755875484,-59,motion
1755875485,-59,motion
1755875485,-59,motion
1755875486,-59,motion
1755875486,-59,motion
1755875487,-59,motion
1755875487,-59,motion
1755875488,-59,motion
1755875488,-59,motion
1755875489,-59,motion
1755875489,-59,motion
1755875490,-59,no_motion
1755875490,-59,no_motion
1755875490,-59,no_motion
1755875491,-59,no_motion
1755875492,-59,no_motion
1755875492,-59,no_motion
1755875493,-59,no_motion
1755875493,-59,no_motion
1755875494,-59,no_motion
1755875494,-59,motion
1755875495,-59,motion
1755875495,-59,motion
1755875496,-59,motion
1755875496,-59,motion
1755875497,-59,motion
1755875497,-59,motion
1755875498,-59,motion
1755875498,-59,motion
1755875499,-59,motion
1755875499,-59,motion
1755875500,-59,no_motion
1755875500,-59,no_motion
1755875501,-60,no_motion
1755875502,-60,motion
1755875502,-60,no_motion
1755875503,-60,no_motion
1755875503,-60,no_motion
1755875504,-60,no_motion
1755875504,-60,no_motion
1755875505,-60,no_motion
1755875505,-60,no_motion
1755875506,-60,no_motion
1755875507,-60,no_motion
1755875507,-60,motion
1755875508,-60,motion
1755875508,-60,no_motion
1755875509,-60,no_motion
1755875509,-60,no_motion
1755875510,-60,no_motion
1755875511,-60,no_motion
1755875511,-60,no_motion
1755875511,-60,motion
1755875512,-60,motion
1755875512,-60,no_motion
1755875513,-60,no_motion
1755875513,-60,no_motion
1755875514,-60,no_motion
1755875514,-60,no_motion
1755875515,-60,no_motion
1755875515,-60,no_motion
1755875516,-60,no_motion
1755875516,-60,no_motion
1755875517,-60,no_motion
1755875517,-60,motion
1755875518,-60,motion
1755875518,-60,no_motion
1755875519,-60,no_motion
1755875520,-60,no_motion
1755875520,-60,no_motion
1755875521,-60,no_motion
1755875521,-60,motion
1755875522,-60,motion
1755875522,-60,no_motion
1755875523,-60,no_motion
1755875523,-60,no_motion
1755875524,-60,no_motion
1755875525,-60,no_motion
1755875525,-60,no_motion
1755875526,-60,no_motion
1755875526,-60,no_motion
1755875527,-60,no_motion
1755875527,-60,no_motion
1755875528,-60,motion
1755875528,-60,no_motion
1755875529,-60,no_motion
1755875529,-60,no_motion
1755875530,-60,no_motion
1755875531,-60,no_motion
1755875531,-60,no_motion
1755875532,-60,motion
1755875532,-60,motion
1755875533,-60,no_motion
1755875533,-60,no_motion
1755875534,-60,no_motion
1755875535,-60,no_motion
1755875535,-60,no_motion
1755875536,-60,no_motion
1755875536,-60,no_motion
1755875537,-60,no_motion
1755875537,-60,no_motion
1755875538,-60,motion
1755875538,-60,motion
1755875539,-60,no_motion
1755875539,-60,motion
1755875540,-60,motion
1755875540,-60,motion
1755875541,-60,motion
1755875542,-60,motion
1755875542,-60,motion
1755875543,-60,motion
1755875543,-60,motion
1755875544,-60,motion
1755875544,-60,motion
1755875545,-60,no_motion
1755875545,-60,no_motion
1755875546,-60,no_motion
1755875547,-60,motion
1755875547,-60,motion
1755875548,-60,motion
1755875548,-60,motion
1755875549,-60,motion
1755875549,-60,motion
1755875550,-60,motion
1755875550,-60,motion
1755875551,-60,motion
1755875552,-60,motion
1755875552,-60,motion
1755875553,-60,motion
1755875553,-60,motion
1755875554,-60,motion
1755875554,-60,motion
1755875555,-60,motion
1755875556,-60,motion
1755875556,-60,motion
1755875557,-60,motion
1755875557,-60,motion
1755875558,-60,no_motion
1755875558,-60,no_motion
1755875559,-60,no_motion
1755875559,-60,no_motion
1755875560,-60,no_motion
1755875560,-60,no_motion
1755875561,-60,no_motion
1755875561,-60,motion
1755875562,-60,motion
1755875562,-60,motion
1755875563,-60,motion
1755875564,-60,motion
1755875564,-60,motion
1755875565,-60,no_motion
1755875565,-60,no_motion
1755875566,-60,no_motion
1755875566,-60,no_motion
1755875567,-60,no_motion
1755875567,-60,motion
1755875568,-60,motion
1755875569,-60,motion
1755875569,-60,motion
1755875570,-60,no_motion
1755875570,-60,no_motion
1755875571,-60,motion
1755875571,-60,motion
1755875572,-60,motion
1755875573,-60,motion
1755875573,-60,no_motion
1755875574,-60,no_motion
1755875574,-60,no_motion
1755875575,-60,no_motion
1755875575,-60,no_motion
1755875576,-60,no_motion
1755875577,-60,no_motion
1755875577,-60,motion
1755875578,-60,motion
1755875578,-60,motion
1755875579,-60,motion
1755875579,-60,no_motion
1755875580,-60,no_motion
1755875580,-60,no_motion
1755875581,-60,no_motion
1755875581,-60,no_motion
1755875582,-60,no_motion
1755875582,-60,no_motion
1755875583,-60,no_motion
1755875583,-60,no_motion
1755875584,-60,motion
1755875585,-60,motion
1755875585,-60,motion
1755875586,-60,motion
1755875586,-60,motion
1755875587,-60,motion
1755875587,-60,motion
1755875588,-60,motion
1755875589,-60,motion
1755875589,-60,motion
1755875590,-60,no_motion
1755875590,-60,no_motion
1755875591,-60,no_motion
1755875591,-60,no_motion
1755875592,-60,no_motion
1755875592,-60,no_motion
1755875593,-60,motion
1755875594,-60,no_motion
1755875594,-60,no_motion
1755875595,-59,no_motion
1755875595,-59,no_motion
1755875596,-59,no_motion
1755875596,-59,no_motion
1755875597,-59,motion
1755875598,-59,no_motion
1755875598,-59,no_motion
1755875599,-59,no_motion
1755875599,-59,no_motion
1755875600,-59,no_motion
1755875600,-59,no_motion
1755875601,-59,no_motion
1755875601,-59,no_motion
1755875602,-59,no_motion
1755875602,-59,motion
1755875603,-59,motion
1755875603,-59,no_motion
1755875604,-59,no_motion
1755875605,-59,no_motion
1755875605,-65,no_motion
1755875606,-65,motion
1755875606,-65,motion
1755875607,-65,no_motion
1755875607,-65,no_motion
1755875608,-65,no_motion
1755875609,-65,no_motion
1755875609,-65,no_motion
1755875610,-65,no_motion
1755875610,-65,motion
1755875611,-65,motion
1755875611,-65,motion
1755875612,-65,no_motion
1755875613,-65,no_motion
1755875613,-65,no_motion
1755875614,-65,motion
1755875614,-65,motion
1755875615,-65,no_motion
1755875615,-65,no_motion
1755875616,-60,no_motion
1755875616,-60,no_motion
1755875617,-60,no_motion
1755875617,-60,no_motion
1755875618,-60,no_motion
1755875619,-60,no_motion
1755875619,-60,motion
1755875620,-60,motion
1755875620,-60,motion
1755875621,-60,motion
1755875621,-60,motion
1755875622,-60,motion
1755875623,-60,motion
1755875623,-60,motion
1755875624,-60,motion
1755875624,-60,motion
1755875625,-60,no_motion
1755875625,-60,motion
1755875626,-60,motion
1755875626,-60,motion
1755875627,-60,no_motion
1755875627,-60,motion
1755875628,-60,motion
1755875628,-60,motion
1755875629,-60,motion
1755875630,-60,no_motion
1755875630,-60,no_motion
1755875631,-60,no_motion
1755875631,-60,no_motion
1755875632,-60,no_motion
1755875632,-60,no_motion
1755875633,-60,motion
1755875634,-60,motion
1755875634,-60,motion
1755875635,-60,no_motion
1755875635,-60,no_motion
1755875636,-60,motion
1755875636,-60,motion
1755875637,-60,motion
1755875638,-60,motion
1755875638,-60,motion
1755875639,-60,motion
1755875639,-60,motion
1755875639,-60,motion
1755875640,-60,no_motion
1755875640,-60,motion
1755875641,-60,motion
1755875641,-60,motion
1755875642,-60,motion
1755875642,-60,motion
1755875643,-60,motion
1755875643,-60,motion
1755875645,-60,motion
1755875645,-60,motion
1755875646,-60,motion
1755875646,-60,motion
1755875647,-60,motion
