timestamp,rssi,label
1755534832,-55,motion
1755534833,-55,motion
1755534834,-57,motion
1755534835,-51,motion
1755534841,-56,motion
1755534842,-56,motion
1755534843,-56,motion
1755534844,-51,motion
1755534845,-58,motion
1755534851,-51,motion
1755534852,-62,motion
1755534853,-54,motion
1755534854,-54,motion
1755534856,-54,motion
1755534861,-59,motion
1755534863,-52,motion
1755534864,-55,motion
1755534865,-52,motion
1755534866,-53,motion
1755534872,-53,motion
1755534873,-53,motion
1755534874,-54,motion
1755534875,-58,motion
1755534876,-54,motion
1755534882,-55,motion
1755534883,-56,motion
1755534884,-64,motion
1755534885,-54,motion
1755534886,-56,motion
1755534892,-53,motion
1755534893,-61,motion
1755534894,-50,motion
1755534895,-54,motion
1755534896,-53,motion
1755534902,-57,motion
1755534903,-51,motion
1755534904,-53,motion
1755534906,-55,motion
1755534907,-50,motion
1755534913,-54,motion
1755534914,-54,motion
1755534915,-53,motion
1755534916,-55,motion
1755534917,-53,motion
1755534923,-54,motion
1755534924,-49,motion
1755534925,-52,motion
1755534927,-47,motion
1755534928,-51,motion
1755534933,-48,motion
1755534935,-52,motion
1755534936,-52,motion
1755534937,-52,motion
1755534938,-54,motion
1755534944,-51,motion
1755534945,-52,motion
1755534946,-56,motion
1755534947,-53,motion
1755534948,-55,motion
1755534954,-53,motion
1755534955,-53,motion
1755534956,-51,motion
1755534957,-54,motion
1755534958,-54,motion
1755534964,-52,motion
1755534966,-50,motion
1755534967,-50,motion
1755534968,-50,motion
1755534969,-52,motion
1755534975,-50,motion
1755534976,-53,motion
1755534977,-50,motion
1755534978,-50,motion
1755534979,-50,motion
1755534985,-52,motion
1755534986,-59,motion
1755534987,-55,motion
1755534989,-61,motion
1755534990,-56,motion
1755534995,-60,motion
1755534997,-54,motion
1755534998,-61,motion
1755534999,-61,motion
1755535000,-61,motion
1755535006,-61,motion
1755535007,-58,motion
1755535008,-58,motion
1755535009,-62,motion
1755535011,-62,motion
1755535016,-62,motion
1755535017,-58,motion
1755535018,-58,motion
1755535020,-53,motion
1755535021,-63,motion
1755535027,-55,motion
1755535028,-63,motion
1755535029,-53,motion
1755535030,-59,motion
1755535031,-54,motion
1755535037,-63,motion
1755535038,-63,motion
1755535039,-51,motion
1755535040,-55,motion
1755535042,-50,motion
1755535047,-52,motion
1755535048,-55,motion
1755535049,-53,motion
1755535051,-59,motion
1755535052,-55,motion
1755535057,-63,motion
1755535059,-63,motion
1755535060,-63,motion
1755535061,-59,motion
1755535062,-56,motion
1755535067,-55,motion
1755535069,-60,motion
1755535070,-54,motion
1755535071,-56,motion
1755535072,-59,motion
1755535077,-56,motion
1755535079,-60,motion
1755535080,-63,motion
1755535081,-54,motion
1755535082,-55,motion
1755535088,-60,motion
1755535089,-55,motion
1755535090,-57,motion
1755535091,-56,motion
1755535092,-58,motion
1755535098,-59,motion
1755535100,-54,motion
1755535100,-54,motion
1755535102,-51,motion
1755535103,-55,motion
1755535108,-55,motion
1755535110,-53,motion
1755535111,-52,motion
1755535112,-52,motion
1755535113,-52,motion
1755535119,-52,motion
1755535120,-52,motion
1755535121,-52,motion
1755535122,-51,motion
1755535123,-55,motion
1755535129,-55,motion
1755535130,-55,motion
1755535131,-55,motion
1755535133,-56,motion
1755535134,-56,motion
1755535139,-56,motion
1755535140,-56,motion
1755535141,-55,motion
1755535143,-55,motion
1755535144,-56,motion
1755535149,-56,motion
1755535150,-56,motion
1755535152,-55,motion
1755535153,-56,motion
1755535154,-59,motion
1755535160,-56,motion
1755535161,-59,motion
1755535162,-59,motion
1755535163,-56,motion
1755535164,-56,motion
1755535170,-55,motion
1755535171,-58,motion
1755535172,-55,motion
1755535173,-55,motion
1755535174,-55,motion
1755535180,-57,motion
1755535181,-51,motion
1755535182,-51,motion
1755535183,-51,motion
1755535184,-56,motion
1755535190,-62,motion
1755535191,-61,motion
1755535192,-59,motion
1755535193,-59,motion
1755535194,-53,motion
1755535200,-53,motion
1755535201,-62,motion
1755535202,-62,motion
1755535203,-63,motion
1755535205,-62,motion
1755535210,-52,motion
1755535211,-56,motion
1755535212,-52,motion
1755535214,-62,motion
1755535219,-60,motion
1755535220,-55,motion
1755535222,-60,motion
1755535223,-62,motion
1755535224,-52,motion
1755535230,-55,motion
1755535231,-52,motion
1755535232,-61,motion
1755535233,-61,motion
1755535234,-58,motion
1755535240,-54,motion
1755535241,-54,motion
1755535242,-62,motion
1755535243,-59,motion
1755535244,-62,motion
1755535250,-58,motion
1755535251,-52,motion
1755535252,-60,motion
1755535253,-60,motion
1755535254,-58,motion
1755535260,-53,motion
1755535261,-56,motion
1755535262,-56,motion
1755535263,-56,motion
1755535264,-56,motion
1755535270,-55,motion
1755535271,-56,motion
1755535272,-55,motion
1755535273,-55,motion
1755535274,-56,motion
1755535280,-56,motion
1755535281,-55,motion
1755535282,-53,motion
1755535284,-60,motion
1755535285,-56,motion
1755535290,-58,motion
1755535292,-53,motion
1755535293,-55,motion
1755535294,-53,motion
1755535295,-56,motion
1755535301,-55,motion
1755535302,-55,motion
1755535303,-59,motion
1755535304,-55,motion
1755535305,-56,motion
1755535311,-55,motion
1755535312,-58,motion
1755535313,-55,motion
1755535314,-55,motion
1755535315,-56,motion
1755535321,-55,motion
1755535322,-57,motion
1755535324,-56,motion
1755535325,-56,motion
1755535326,-57,motion
1755535332,-55,motion
1755535333,-55,motion
1755535334,-55,motion
1755535335,-55,motion
1755535336,-55,motion
1755535342,-55,motion
1755535343,-56,motion
1755535345,-55,motion
1755535346,-56,motion
1755535347,-53,motion
1755535353,-61,motion
1755535354,-62,motion
1755535355,-60,motion
1755535356,-56,motion
1755535357,-60,motion
1755535363,-54,motion
1755535364,-57,motion
1755535365,-54,motion
1755535366,-56,motion
1755535367,-62,motion
1755535373,-56,motion
1755535374,-55,motion
1755535375,-57,motion
1755535376,-56,motion
1755535378,-57,motion
1755535383,-54,motion
1755535385,-56,motion
1755535386,-58,motion
1755535387,-55,motion
1755535388,-54,motion
1755535393,-55,motion
1755535395,-58,motion
1755535396,-55,motion
1755535397,-54,motion
1755535398,-54,motion
1755535403,-54,motion
1755535405,-59,motion
1755535406,-54,motion
1755535407,-57,motion
1755535408,-58,motion
1755535414,-56,motion
1755535415,-58,motion
1755535416,-58,motion
1755535417,-58,motion
1755535418,-58,motion
1755535424,-58,motion
1755535425,-53,motion
1755535426,-53,motion
1755535427,-56,motion
1755535428,-54,motion
1755535434,-56,motion
1755872865,-63,no_motion
1755872866,-63,no_motion
1755872866,-63,no_motion
1755872867,-63,motion
1755872867,-63,no_motion
1755872868,-63,motion
1755872868,-63,no_motion
1755872869,-63,no_motion
1755872869,-63,no_motion
1755872870,-58,no_motion
1755872870,-58,motion
1755872871,-58,no_motion
1755872872,-58,no_motion
1755872872,-58,no_motion
1755872873,-58,no_motion
1755872873,-58,no_motion
1755872874,-58,no_motion
1755872874,-58,motion
1755872875,-58,no_motion
1755872875,-58,no_motion
1755872875,-58,motion
1755872876,-58,no_motion
1755872876,-58,no_motion
1755872877,-58,no_motion
1755872878,-58,no_motion
1755872878,-58,no_motion
1755872879,-58,no_motion
1755872879,-58,motion
1755872879,-58,no_motion
1755872880,-58,no_motion
1755872880,-58,no_motion
1755872881,-58,no_motion
1755872882,-58,no_motion
1755872882,-58,no_motion
1755872883,-58,no_motion
1755872883,-58,no_motion
1755872884,-58,no_motion
1755872884,-58,motion
1755872885,-58,no_motion
1755872885,-58,no_motion
1755872886,-58,no_motion
1755872886,-58,no_motion
1755872887,-58,motion
1755872887,-58,no_motion
1755872888,-58,no_motion
1755872888,-58,no_motion
1755872889,-58,motion
1755872889,-58,no_motion
1755872890,-58,motion
1755872890,-58,no_motion
1755872891,-58,motion
1755872891,-58,no_motion
1755872892,-58,no_motion
1755872892,-58,no_motion
1755872893,-58,motion
1755872893,-58,no_motion
1755872894,-58,no_motion
1755872894,-58,no_motion
1755872895,-58,no_motion
